MCC	MNC	Brand	Operator
732	123	movistar	Colombia Telecomunicaciones S.A. ESP
732	130	AVANTEL	Avantel S.A.S
732	142		Une EPM Telecomunicaciones S.A. E.S.P.
732	154	Virgin Mobile	Virgin Mobile Colombia S.A.S.
732	165		Colombia Móvil S.A. ESP
732	176		DirecTV Colombia Ltda
732	187	eTb	Empresa de Telecomunicaciones de Bogotá S.A. ESP
732	199		SUMA Movil SAS
732	208		UFF Movil SAS
654	01	HURI	Comoros Telecom
654	02	TELCO SA	Telecom Malagasy (Telma)
629	01	Airtel	Celtel Congo
629	07		Warid Telecom
629	10	Libertis Telecom	MTN CONGO S.A
548	01	Bluesky	Telecom Cook Islands
712	01	Kolbi ICE	Instituto Costarricense de Electricidad
712	02	Kolbi ICE	Instituto Costarricense de Electricidad
712	03	Claro	Claro CR Telecomunicaciones (Aló)
712	04	movistar	Telefónica Móviles Costa Rica
712	20	fullmóvil	Virtualis S.A.
219	01	T-Mobile	T-Hrvatski Telekom
219	02	Tele2	Tele2
219	10	Vip	Vipnet
219	12		TELE FOCUS d.o.o.
368	01	CUBACEL	Empresa de Telecomunicaciones de Cuba, SA
280	01	Cytamobile-Vodafone	Cyprus Telecommunications Authority
280	10	MTN	MTN Group
280	20	PrimeTel	PrimeTel PLC
280	22	lemontel	Lemontel Ltd
280	23	Vectone Mobile	Mundio Mobile Cyprus Ltd.
230	01	T-Mobile	T-Mobile Czech Republic
230	02	O2	O2 Czech Republic
230	03	Vodafone	Vodafone Czech Republic
230	04		Nordic Telecom s.r.o.
230	05		PODA a.s.
230	06		OSNO TELECOMUNICATION, s.r.o.
230	07		ASTELNET, s.r.o.
230	08		Compatel s.r.o.
230	09	Vectone Mobile	Mundio Distribution Czech Republic s.r.o.
230	98		Správa železniční dopravní cesty, s.o.
230	99	Vodafone	Vodafone Czech Republic
630	01	Vodacom	Vodacom Congo RDC sprl
630	02	Airtel	Airtel sprl
630	04		Cellco
630	05	Supercell	Supercell SPRL
630	10	MTN	
630	86	Orange S.A.	Orange RDC sarl
630	88	YTT	Yozma Timeturns sprl
630	89	Tigo	OASIS sprl
630	90	Africell	Africell RDC sprl
238	01	TDC	TDC A/S
238	02	Telenor	Telenor Denmark
238	03		Syniverse Technologies
238	04		NextGen Mobile Ltd T/A CardBoardFish
238	05	TetraNet	Dansk Beredskabskommunikation A/S
238	06	3	Hi3G Denmark ApS
238	07	Vectone Mobile	Mundio Mobile (Denmark) Limited
238	08	Voxbone	Voxbone mobile
238	09	SINE	Dansk Beredskabskommunikation A/S
238	10	TDC	TDC A/S
238	11	SINE	Dansk Beredskabskommunikation A/S
238	12	Lycamobile	Lycamobile Denmark Ltd
238	13		Compatel Limited
238	14		Monty UK Global Limited
238	15		Ice Danmark ApS
238	16		Tismi B.V.
238	17		Naka AG
238	18		Cubic Telecom
238	20	Telia	Telia
238	23	GSM-R DK	Banedanmark
238	25	Viahub	SMS Provider Corp.
238	28		LINK Mobile A/S
238	30		Interactive digital media GmbH
238	40		Ericsson Danmark A/S
238	42		Greenwave Mobile IoT ApS
238	43		MobiWeb Limited
238	66		TT-Netværket P/S
238	73		Onomondo ApS
238	77	Telenor	Telenor Denmark
638	01	Evatis	Djibouti Telecom SA
366	020	Digicel	Digicel Group Limited
366	110	FLOW	Cable & Wireless
370	01	Altice	Altice Group
370	02	Claro	Compañía Dominicana de Teléfonos
370	03	Altice	Altice Group
370	04	Viva	Trilogy Dominicana, S.A.
370	05	Wind	WIND Telecom, S.A
514	01	Telkomcel	PT Telekomunikasi Indonesia International
514	02	TT	Timor Telecom
514	03	Telemor	Viettel Timor-Leste
740	00	Movistar	Otecel S.A.
740	01	Claro	CONECEL S.A.
740	02	CNT Mobile	Corporación Nacional de Telecomunicaciones (CNT EP)
740	03	Tuenti	Otecel S.A.
602	01	Orange	Orange Egypt
602	02	Vodafone	Vodafone Egypt
602	03	Etisalat	Etisalat Egypt
602	04	WE	Telecom Egypt
706	01	Claro	CTE Telecom Personal, S.A. de C.V.
706	02	digicel	Digicel, S.A. de C.V.
706	03	Tigo	Telemovil El Salvador S.A.
706	04	movistar	Telefónica Móviles El Salvador
706	05	RED	INTELFON, S.A. de C.V.
627	01	Orange GQ	GETESA
627	03	Hits GQ	HiTs EG.SA
657	01	Eritel	Eritrea Telecommunications Services Corporation
248	01	Telia	Estonian Mobile Telecom
248	02	Elisa	Elisa Eesti
248	03	Tele2	Tele2 Eesti
248	04	Top Connect	OY Top Connect
248	05		AS Bravocom Mobiil
248	06		Progroup Holding
248	07	Kou	Televõrgu AS
248	08	VIVEX	VIVEX OU
248	09		Bravo Telecom
248	10		Telcotrade OÜ
248	11		UAB Raystorm Eesti filiaal
248	71		Siseministeerium (Ministry of Interior)
636	01	MTN	Ethio Telecom
750	001	Sure	Sure South Atlantic Ltd.
288	01	Faroese Telecom	Faroese Telecom
288	02	Hey	Vodafone Faroe Islands
288	03		Edge Mobile Sp/F
542	01	Vodafone	Vodafone Fiji
542	02	Digicel	Digicel Fiji
542	03		Telecom Fiji Ltd
244	03	DNA	DNA Oy
244	04	DNA	DNA Oy
244	05	Elisa	Elisa Oyj
244	06	Elisa	Elisa Oyj
244	07	Nokia	Nokia Solutions and Networks Oy
244	08	Nokia	Nokia Solutions and Networks Oy
244	09		Nokia Solutions and Networks Oy
244	10		Viestintävirasto
244	11		Viestintävirasto
244	12	DNA	DNA Oy
244	13	DNA	DNA Oy
244	14	Ålcom	Ålands Telekommunikation Ab
244	15	SAMK	Satakunnan ammattikorkeakoulu Oy
244	16	Tele2	Oy Finland Tele2 AB
244	17		Liikennevirasto
244	21	Elisa- Saunalahti	Elisa Oyj
244	22		EXFO Oy
244	23		EXFO Oy
244	24		TTY-säätiö
244	25	Datame	Datame Oy
244	26	Compatel	Compatel Ltd
244	27		Teknologian tutkimuskeskus VTT Oy
244	28		Teknologian tutkimuskeskus VTT Oy
244	29		SCNL Truphone
244	30	Vectone Mobile	Mundio Mobile Oy
244	31	Kuiri	Ukko Mobile Oy
244	32	Voxbone	Voxbone SA
244	33	VIRVE	Virve Tuotteet ja Palvelut Oy
244	34	Bittium Wireless	Bittium Wireless Oy
244	35	Ukko Mobile	Ukkoverkot Oy
244	36	Sonera / DNA	TeliaSonera Finland Oyj / Suomen Yhteisverkko Oy
244	37	Tismi	Tismi BV
244	38		Nokia Solutions and Networks Oy
244	39		Nokia Solutions and Networks Oy
244	40		Nokia Solutions and Networks Oy
244	41		Nokia Solutions and Networks Oy
244	42		SMS Provider Corp.
244	43		Telavox AB / Telavox Oy
244	44		Turun ammattikorkeakoulu Oy
244	91	Sonera	TeliaSonera Finland Oyj
244	92	Sonera	TeliaSonera Finland Oyj
208	01	Orange	Orange S.A.
208	02	Orange	Orange S.A.
208	03	MobiquiThings	MobiquiThings
208	04	Sisteer	Societe d'ingenierie systeme telecom et reseaux
208	05		Globalstar Europe
208	06		Globalstar Europe
208	07		Globalstar Europe
208	08	SFR	Altice
208	09	SFR	Altice
208	10	SFR	Altice
208	11	SFR	Altice
208	12		Hewlett-Packard France
208	13	SFR	Altice
208	14	SNCF Réseau	SNCF Réseau
208	15	Free Mobile	Iliad
208	16	Free Mobile	Iliad
208	17	LEGOS	Local Exchange Global Operation Services
208	18	Voxbone	Voxbone mobile
208	19		Altitude Infrastructure
208	20	Bouygues	Bouygues Telecom
208	21	Bouygues	Bouygues Telecom
208	22	Transatel Mobile	Transatel
208	23		Omea Telecom
208	24	MobiquiThings	MobiquiThings
208	25	LycaMobile	LycaMobile
208	26	NRJ Mobile	Euro-Information Telecom SAS
208	27		Coriolis Telecom
208	28		Airbus Defence and Space SAS
208	29		Cubic Telecom France
208	30		Syma Mobile
208	31	Vectone Mobile	Mundio Mobile
208	32	Orange	Orange S.A.
208	86		Nomotech
208	87	RATP	Régie autonome des transports parisiens
208	88	Bouygues	Bouygues Telecom
208	89		Fondation b-com
208	90		Images & Réseaux
208	91		Orange S.A.
208	92	Com4Innov	Association Plate-forme Télécom
208	93		Thales Communications & Security SAS
208	94		Halys
208	95		Orange S.A.
208	96		Axione
208	97		Thales Communications & Security SAS
208	98		Société Air France
340	01	Orange	Orange Caraïbe Mobiles
340	02	SFR Caraïbe	Outremer Telecom
340	03	Chippie	UTS Caraïbe
340	08	Dauphin	Dauphin Telecom
340	09	Free	Free Mobile
340	10		Guadeloupe Téléphone Mobile
340	11		Guyane Téléphone Mobile
340	12		Martinique Téléphone Mobile
340	20	Digicel	DIGICEL Antilles Française Guyane
647	00	Orange	Orange La Réunion
647	01		BJT Partners
647	02	Free	Telco OI
647	03	Free	Telco OI
647	04	4G Réunion	Zeop mobile
647	10	SFR Réunion	Société Réunionnaise du Radiotéléphone
547	05	Ora	VITI
547	10		Mara Telecom
547	15	Vodafone	Pacific Mobile Telecom
547	20	Vini	Tikiphone SA
			
628	01	Libertis	Gabon Telecom & Libertis S.A.
628	02	Moov	Atlantique Télécom (Etisalat Group) Gabon S.A.
628	03	Airtel	Airtel Gabon S.A.
628	04	Azur	USAN Gabon S.A.
628	05	RAG	Réseau de l’Administration Gabonaise
607	01	Gamcel	Gamcel
607	02	Africell	Africell
607	03	Comium	Comium
607	04	QCell	QCell Gambia
607	05		GAMTEL-Ecowan
607	06		NETPAGE
282	01	Geocell	Geocell Limited
282	02	MagtiCom	Magticom GSM
282	03	MagtiCom	Magtifix
282	04	Beeline	Mobitel LLC
282	05	Silknet	JSC Silknet
282	06		JSC Compatel
282	07	GlobalCell	GlobalCell Ltd
282	08	Silk LTE	JSC Silknet
282	09		Gmobile Ltd
282	10		Premium Net International SRL Ltd
262	01	Telekom	Telekom Deutschland GmbH
262	02	Vodafone	Vodafone D2 GmbH
262	03	O2	Telefónica Germany GmbH & Co. oHG
262	04	Vodafone	Vodafone D2 GmbH
262	05	O2	Telefónica Germany GmbH & Co. oHG
262	06	Telekom	Telekom Deutschland GmbH
262	07	O2	Telefónica Germany GmbH & Co. oHG
262	08	O2	Telefónica Germany GmbH & Co. oHG
262	09	Vodafone	Vodafone D2 GmbH
262	10		DB Netz AG
262	11	O2	Telefónica Germany GmbH & Co. oHG
262	12	Dolphin Telecom	sipgate GmbH
262	13		Mobilcom Multimedia
262	14		Group 3G UMTS
262	15	Airdata	
262	16		Telogic Germany GmbH
262	17	O2	Telefónica Germany GmbH & Co. oHG
262	18		NetCologne
262	19		Inquam Deutschland
262	20	Voiceworks	Voiceworks GmbH
262	21		Multiconnect GmbH
262	22		sipgate Wireless GmbH
262	23		Drillisch Online AG
262	33	simquadrat	sipgate GmbH
262	41		First Telecom GmbH
262	42	CCC Event	Chaos Computer Club
262	43	Lycamobile	Lycamobile
262	60		DB Telematik
262	72		Ericsson GmbH
262	73		Xantaro Deutschland GmbH
262	74		Qualcomm CDMA Technologies GmbH
262	75		Core Network Dynamics GmbH
262	76		Siemens AG
262	77	O2	Telefónica Germany GmbH & Co. oHG
262	78	Telekom	Telekom Deutschland GmbH
262	79		ng4T GmbH
262	92		Nash Technologies
620	01	MTN	MTN Group
620	02	Vodafone	Vodafone Group
620	03	AirtelTigo	Millicom Ghana
620	04	Expresso	Kasapa / Hutchison Telecom
620	06	AirtelTigo	Airtel
620	07	Globacom	Globacom Group
620	08	Surfline	Surfline Communications Ltd
620	10	Blu	Blu Telecommunications
620	11		Netafrique Dot Com Ltd
266	01	GibTel	Gibtelecom
266	06	CTS Mobile	CTS Gibraltar
266	09	Shine	Eazitelecom
202	01	Cosmote	COSMOTE - Mobile Telecommunications S.A.
202	02	Cosmote	COSMOTE - Mobile Telecommunications S.A.
202	03		OTE
202	04		OSE
202	05	Vodafone	Vodafone Greece
202	06		Cosmoline
202	07		AMD Telecom
202	09	Wind	Wind Hellas Telecommunications S.A.
202	10	Wind	Wind Hellas Telecommunications S.A.
202	11		interConnect
202	12		Yuboto
202	13		Compatel Limited
202	14	Cyta Hellas	CYTA
202	15		BWS
202	16		Inter Telecom
290	01		TELE Greenland A/S
290	02	Nuuk TV	inu:it a/s
352	030	Digicel	Digicel Grenada Ltd.
352	110	FLOW	Cable & Wireless Grenada Ltd.
310	032	IT&E Wireless	IT&E Overseas, Inc
310	033		Guam Telephone Authority
310	140	GTA Wireless	Teleguam Holdings, LLC
310	370	Docomo	NTT Docomo Pacific
310	400	iConnect	Wave Runner LLC
310	480	iConnect	Wave Runner LLC
311	120	iConnect	Wave Runner LLC
311	250	iConnect	Wave Runner LLC
