23492	cable and wireless
43202	azartel mobile
312760	arctic slope telephone association cooperative
47010	banglalion communications ltd.
310510	airtel wireless llc
43208	shatel mobile
27010	blue communications
311020	missouri rsa no 5 partnership
51588	next mobile
50509	airnet commercial australia ltd..
50508	railcorp/vodafone
50505	the ozitel network pty.
50504	department of defense
55001	fsm telecom
50506	h3g ltd.
50501	telstra corp. ltd.
50503	vodafone
50502	singtel optus
60321	anesrif
25703	belcel jv
25702	mts
25701	mobile digital communications
65201	mascom wireless (pty) ltd.
25706	belorussian cloud technologies
65204	bemobile
25704	best
311120	choice phone llc
310460	tmp corporation
23818	cubic telecom
45205	vietnamobile
23811	dansk beredskabskommunikation a/s
23810	tdc denmark
23813	compatel limited
23812	lycamobile ltd
23815	ice danmark aps
23814	monty uk global limited
23817	naka ag
23816	tismi b.v.
60499	al houria telecom
64133	smile communications uganda ltd
64130	k2 telecom ltd
53988	digicel (tonga) limited
310650	jasper
310310	t-mobile
42007	zain
42006	lebara mobile
42005	virgin mobile
42004	zain
42003	etihad/etisalat/mobily
42001	stc/al jawal
405908	idea
405909	idea
64007	tanzania telecommunications company ltd (ttcl)
64006	dovetel (t) ltd
64005	airtel/zain/celtel
64004	vodacom ltd
64003	zantel/zanzibar telecom
64002	tigo/mic
64001	tri telecomm. ltd.
64009	halotel/viettel ltd
64008	benson informatics ltd
25502	beeline
310600	new-cell inc.
310053	sprint
25567	kyivstar
310054	alltel us
42204	oman telecommunications company
302500	videotron
65535	kingdom communications pty ltd
65536	amatole telecommunications pty ltd
25568	beeline
65530	bokamoso consortium
65531	karabo telecoms (pty) ltd.
65532	ilizwi telecommunications
65533	thinta thinta telecommunications pty ltd
25093	telecom xxl
45410	csl/new world pcs ltd.
45413	china mobile/peoples
45412	china mobile/peoples
45415	vodafone/smartone
45414	h3g/hutchinson
45417	vodafone/smartone
45416	hkt/pccw
45419	hkt/pccw
45418	csl ltd.
25099	beeline/vimpelcom
312010	missouri rsa no 5 partnership
55202	palau equipment company inc.
250?	skylink
312830	kings county office of education
311830	thumb cellular limited partnership
732208	uff movil sas
